lead_id,name,email,phone_number,age,age_group,city,city_tier,family_background,occupation,income,credit_score,education_level,num_site_visits,avg_time_on_page,form_filled,whatsapp_reply_count,clicked_ad,bounced,referral_source,ip_geolocation_verified,device_type,campaign_id,crm_segment_tag,linkedin_profile_exists,news_sentiment_about_company,company_size,industry_type,lead_created_at,intent_score
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Daniel Doyle,garzaanthony@example.org,538.990.8386,22,18-25,Delhi,1,Single,Self-Employed,343962,581,Undergrad,9,40.51,1,1,0,0,Paid Ad,0,Tablet,CAMP003,C,0,0.09,50-200,Education,2025-07-11 14:35:11,15
01a9e71f-de8a-474b-8f36-d58b47378190,Caitlin Henderson,eric51@example.org,(615)759-4078x1618,21,18-25,Ahmedabad,2,Single,Freelancer,201414,463,Postgrad,14,106.23,0,2,0,1,Paid Ad,1,Tablet,CAMP002,A,1,0.46,<50,Education,2025-07-11 00:42:22,20
0bbb2599-11ce-4dd2-b45e-d1f03139d32c,Patricia Galloway,michellejames@example.com,+1-952-855-3419x2832,56,51+,Delhi,1,Married,Salaried,996865,600,Graduate,14,125.26,0,4,0,1,SEO,0,Desktop,CAMP002,B,0,0.27,200-1000,Real Estate,2025-06-26 02:33:15,20
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,Melinda Cameron,perezantonio@example.com,(541)639-5376x7242,43,36-50,Chandigarh,2,Married,Student,771088,514,Graduate,11,102.18,0,5,0,0,Email,1,Mobile,CAMP001,A,0,0.61,1000+,Finance,2025-07-11 09:08:03,45
663f1c97-9562-49f0-a5d7-b8756dadd6c7,Zachary Taylor,ddavis@example.org,(626)291-6697,34,26-35,Delhi,1,Single,Unemployed,665158,622,Postgrad,12,35.83,0,3,1,1,SEO,1,Tablet,CAMP002,B,1,-0.56,50-200,Healthcare,2025-06-18 13:30:16,30
c0398710-8976-4334-a281-7efdae849217,Martin Rodriguez,amoore@example.net,001-248-728-1489x3252,26,26-35,Rajkot,3,Married with Kids,Freelancer,654816,348,Postgrad,9,129.86,0,1,1,0,Email,0,Tablet,CAMP003,A,1,0.36,200-1000,Finance,2025-07-06 17:18:32,50
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Sandra Parker,allenashley@example.org,671-882-2782,39,36-50,Delhi,1,Married with Kids,Self-Employed,260263,745,Postgrad,13,27.93,0,0,0,1,Organic,0,Tablet,CAMP003,A,1,0.2,1000+,Tech,2025-06-23 06:48:18,10
badcc32a-c159-4f53-8a0f-4efbedcd465e,Michelle Ross,samuel87@example.org,531.250.9839,44,36-50,Delhi,1,Single,Self-Employed,791798,614,PhD,9,39.72,1,1,0,0,Organic,0,Desktop,CAMP003,C,0,-0.15,50-200,Healthcare,2025-06-16 10:45:18,15
3a9bedd4-0f12-49e0-a18f-f6b6b535106e,Andre Rivera,joshuawashington@example.net,(399)873-7631,40,36-50,Pune,2,Single,Salaried,454508,708,Undergrad,10,149.3,1,5,1,1,SEO,0,Tablet,CAMP001,A,0,-0.86,<50,Real Estate,2025-06-30 04:49:43,60
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,Megan Joyce,brownjessica@example.org,933.587.2624,23,18-25,Delhi,1,Married with Kids,Freelancer,354801,638,PhD,13,15.27,0,1,1,1,Organic,1,Mobile,CAMP001,A,0,0.32,200-1000,Education,2025-06-16 15:52:19,10
db20a56e-dc81-4fe7-8eda-8bbb71710434,Amber Kidd,novaksara@example.org,(267)873-6026,50,36-50,Indore,3,Single,Self-Employed,299448,355,PhD,3,102.64,1,5,0,0,Paid Ad,1,Mobile,CAMP002,B,1,-0.5,<50,Education,2025-06-25 21:01:34,55
747b6dba-c8fe-4ccd-88b8-d9c6ed3049cf,Michael Cross,smoore@example.org,4982050097,27,26-35,Nagpur,3,Married,Freelancer,324130,351,PhD,15,99.56,0,4,0,0,Email,0,Mobile,CAMP002,A,0,0.97,200-1000,Education,2025-07-07 15:42:19,40
118a9d29-2f92-4996-99f1-95d014822f53,Megan Young,davidashley@example.net,+1-509-616-9985x435,48,36-50,Ahmedabad,2,Single,Unemployed,599948,798,Graduate,1,27.45,0,2,0,0,Paid Ad,0,Mobile,CAMP001,C,1,-0.86,50-200,Education,2025-07-02 05:09:58,30
4ccc9bc2-a53f-4a28-abf3-e3fc21813d25,Timothy Walls,ellisyolanda@example.org,783-684-2513,57,51+,Delhi,1,Married with Kids,Student,350280,552,Postgrad,7,88.94,1,0,1,0,SEO,0,Tablet,CAMP003,B,1,-0.09,<50,Tech,2025-06-20 15:49:50,45
b41b3143-8b10-450c-9570-4f32702cdd20,William Roman,contrerasangela@example.net,524-711-8244,60,51+,Rajkot,3,Married,Student,265409,402,PhD,14,15.62,1,1,0,1,SEO,1,Tablet,CAMP003,C,0,-0.98,200-1000,Tech,2025-06-22 21:15:01,5
439472e6-da58-4e8a-a25d-6b29afffcfd2,Danielle Odonnell,davisrodney@example.com,2053242786,37,36-50,Bangalore,1,Single,Student,629959,418,PhD,5,134.01,1,5,1,0,Referral,0,Mobile,CAMP003,B,0,0.66,<50,Tech,2025-06-16 15:42:27,70
e767dcea-b0e6-4969-a213-42b0f1eedba3,Andrew Wood,russellwilliams@example.com,4535315869,29,26-35,Chandigarh,2,Married with Kids,Salaried,975136,568,Postgrad,10,28.43,0,3,0,1,SEO,0,Desktop,CAMP001,A,0,-0.38,<50,Finance,2025-06-20 21:22:13,5
2d534dd0-cf8e-4c5a-8cc5-6569f9e8a369,Allison Doyle,kimberly63@example.com,(616)507-3375,36,36-50,Pune,2,Married,Salaried,288073,405,Postgrad,13,56.28,0,4,0,1,SEO,1,Tablet,CAMP003,A,0,-0.47,<50,Education,2025-06-23 19:46:01,10
6601ddd0-3170-4437-a8f7-ef5a060edf5b,Sean Rasmussen,michael86@example.net,+1-350-814-2940,51,51+,Mumbai,1,Married with Kids,Self-Employed,517821,527,Postgrad,5,33.94,0,3,1,1,Paid Ad,0,Desktop,CAMP002,C,0,0.02,200-1000,Tech,2025-06-29 18:47:48,20
6fb78271-504d-481f-8953-5b63ba81edd9,Kayla Cruz,jonathanfletcher@example.org,783.856.1595x14846,37,36-50,Delhi,1,Married,Unemployed,636265,482,Undergrad,7,89.19,1,2,0,0,Referral,0,Desktop,CAMP001,C,1,-0.13,50-200,Finance,2025-06-27 08:30:19,50
6ba25efe-311c-4eb6-a095-eef68dedf9fb,Jamie Adkins,christinaturner@example.net,9449369957,25,18-25,Indore,3,Married,Student,681343,638,Graduate,4,95.36,1,5,1,0,Referral,1,Tablet,CAMP002,C,1,0.5,50-200,Healthcare,2025-06-23 09:01:20,80
